nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.661040998422184, 0.5440787113074113)","(0.6736528494141333, 0.5501776307057124)","(0.6767630881362876, 0.5529896045898236)","(0.6798957240331438, 0.556025542579332)","(0.6661559240523489, 0.5465530020929451)","(0.6638686876474853, 0.5467032356695707)","(0.6613170842190736, 0.5468033909241926)","(0.6827061973807431, 0.5744213411858043)","(0.658011575956724, 0.5608310185390208)","(0.6585002658250463, 0.5539637842934183)","(0.6496957183439984, 0.5506309168044238)","(0.6881260452292752, 0.609428819937585)","(0.5921652166993481, 0.5960757633744989)","(0.6358772418993628, 0.6864580292523894)","(0.49032505770107637, 0.6602248675895475)","(0.5747004059644858, 0.752996475129696)","(0.4012881533388222, 0.6625534080681004)"
"(0.6610625597424733, 0.5439829950010315)","(0.6736345739909277, 0.5501358495169876)","(0.6767680433802408, 0.5529407964441894)","(0.6799233334881456, 0.5559649399388376)","(0.6660247590992014, 0.5465179356661722)","(0.6636974697624345, 0.5466753140196112)","(0.6610988603605271, 0.5467819124112885)","(0.6827300842547487, 0.574151106786618)","(0.657836585194916, 0.5607573862398155)","(0.6586984911442928, 0.5538365365741982)","(0.6497724827352951, 0.5505513487718057)","(0.688436992240676, 0.6085306300427821)","(0.5929268901442605, 0.5953550750003285)","(0.6363286809487789, 0.6856879787845227)","(0.4914233546295932, 0.6601580989944367)","(0.5748089119826731, 0.7527544854126349)","(0.40153473212724605, 0.6604243669754434)"
"(0.6610713619174393, 0.5438604823081377)","(0.6736307474838841, 0.5500874744428633)","(0.6767699082136724, 0.5528891586757219)","(0.6799354235053354, 0.5559054005951882)","(0.6659813651116036, 0.5464767073140011)","(0.6636472280486772, 0.5466421114536999)","(0.6610409278413925, 0.5467567393829784)","(0.6827411626602401, 0.5739828320372089)","(0.6577284791808599, 0.5606899764432229)","(0.6588374809785337, 0.5536931525299333)","(0.6498252853646993, 0.5504249248193428)","(0.6887274448410352, 0.607800055633893)","(0.5933766547060804, 0.5947786590436135)","(0.6368440756431006, 0.6848760055495323)","(0.4925117528105126, 0.660204895726452)","(0.5749634391778011, 0.752369905685213)","(0.403118937165588, 0.6587347874552512)"
"(0.6611132309153378, 0.5437028060704134)","(0.6736817337694161, 0.5500336784027129)","(0.6767920623848225, 0.5528313802394568)","(0.6799387456653849, 0.555845150302897)","(0.6661258255129385, 0.5464296532677615)","(0.6638330332327014, 0.5466014148194207)","(0.6612729018940529, 0.546722139789787)","(0.6827362303411503, 0.5740010978736534)","(0.6577589567446779, 0.560626416912169)","(0.6589067985405748, 0.553529992248074)","(0.6498686126617855, 0.5502249309510907)","(0.6888731312362757, 0.6073931372249056)","(0.5933088404593224, 0.5944017184364225)","(0.6373386563676791, 0.6841359845686085)","(0.49358414846422616, 0.6612368829044721)","(0.575132772778021, 0.7518771272717116)","(0.4063336428228801, 0.6600665168050855)"
"(0.6612395816471763, 0.5435208493457263)","(0.6738627433498993, 0.5499773964737413)","(0.6769214046029237, 0.5527825176299047)","(0.6800193222530531, 0.5558140839174367)","(0.6664923679578569, 0.5463717140795757)","(0.6642706373354785, 0.546546997307065)","(0.6617892347015715, 0.5466686703942051)","(0.6827321755580428, 0.5742616782655261)","(0.657924403955332, 0.5605794920787956)","(0.6589328971776109, 0.5533498324158598)","(0.6499090319746872, 0.5499605230796043)","(0.6889302003911617, 0.6073310850383531)","(0.5929874688873215, 0.5945155530264896)","(0.6377715071042392, 0.6835315341438184)","(0.4944569228829215, 0.6667222736320866)","(0.575291720442562, 0.751249398107019)","(0.4098789580079512, 0.6658502612914253)"
"(0.6614782610139661, 0.5433247035199957)","(0.6741553099005386, 0.5499373415966979)","(0.6771423455440652, 0.5527644960474591)","(0.6801612088174545, 0.5558337742909975)","(0.6670356021894456, 0.5463188906093867)","(0.6649051091887749, 0.5464984475871634)","(0.6625241046741028, 0.5466211603515921)","(0.6827472163524954, 0.5747495233873677)","(0.6582697643822459, 0.5606587518067361)","(0.658961687332546, 0.5531564817561981)","(0.6500563816035002, 0.5496547369412342)","(0.6887539029121414, 0.6075179500457581)","(0.591924113549276, 0.5943878497277119)","(0.6381014117272041, 0.6830882439802313)","(0.4941779247252824, 0.6669194055048194)","(0.5754212773207474, 0.7505433249584739)","(0.41023242779267227, 0.663398823538028)"
"(0.6617492552681694, 0.5431656472054962)","(0.6744820488082794, 0.5499512846375412)","(0.6773766698815065, 0.5528151595787025)","(0.6803012730636255, 0.5559429638869291)","(0.6677062157150764, 0.5463175280388708)","(0.6656999069771858, 0.5465137684817648)","(0.663455085181969, 0.5466542862234149)","(0.6827097625443443, 0.5754497676462572)","(0.6587972770204091, 0.5609872004924689)","(0.6589088458003434, 0.5530198049712026)","(0.6501918161387781, 0.5493890272153853)","(0.6881771226585065, 0.6078909331268376)","(0.5899053793964976, 0.5928541958193135)","(0.6383114469634916, 0.6828592013923731)","(0.49232320275618024, 0.6596967099985612)","(0.5755060252609798, 0.7499167705193559)","(0.4080720667516721, 0.6480972791885176)"
"(0.6620950202841873, 0.543005552186278)","(0.674792844098766, 0.5499805849748903)","(0.6775806867159344, 0.5528844728336479)","(0.6804006504012169, 0.5560716808814836)","(0.6683774294553118, 0.5463433249013419)","(0.6664961554231635, 0.5465667510366118)","(0.6643883772107564, 0.546736142157398)","(0.6826081489905347, 0.5762283533881051)","(0.659299773214026, 0.5614584764956329)","(0.6588683917528002, 0.55286722944611)","(0.6504311068352577, 0.5491252049699542)","(0.6873907583021077, 0.6082987517187937)","(0.5872260346001413, 0.5905380153155839)","(0.6384944212742354, 0.682823823604274)","(0.4894029022235703, 0.6448127036883851)","(0.575554403252814, 0.7494593280734454)","(0.40688842298823447, 0.6195666777504087)"
"(0.6626505949002616, 0.5428634095580995)","(0.6752544806831658, 0.5500264308113608)","(0.6779092579454823, 0.5529680389624387)","(0.6805953202825619, 0.556206318881963)","(0.6692463825076902, 0.54640124060891)","(0.6675056389995403, 0.5466618508725745)","(0.66555140860431, 0.5468738220788394)","(0.6824955495643186, 0.5769615196959412)","(0.6600700437605812, 0.5620409814349989)","(0.6590015950736481, 0.5527088781058939)","(0.6509556909263288, 0.548897586363458)","(0.6864813432826877, 0.6087520729689622)","(0.5841980615418009, 0.5876457567537315)","(0.638293121661341, 0.682909388781151)","(0.48674249614313314, 0.6213455369700376)","(0.5755493921555573, 0.7492127704731528)","(0.40786576597562846, 0.5801988155136031)"
"(0.6634051224568522, 0.542730599155516)","(0.6758778182776672, 0.550022645291194)","(0.6783925546354918, 0.5529832902488188)","(0.68092953297364, 0.5562465967554047)","(0.6702362378160451, 0.5464459725748977)","(0.6686277842466106, 0.5467535475473038)","(0.6668143853163122, 0.5470199754466)","(0.6824071072476185, 0.5774490324767332)","(0.6610454384819348, 0.5626136413265231)","(0.659312038849563, 0.5525216656131356)","(0.6517372771854459, 0.5487179107321459)","(0.6855937204994536, 0.6090802490572287)","(0.5813230905499503, 0.5846317971780874)","(0.637834957568519, 0.682937353502066)","(0.48531886518418477, 0.5932434667379441)","(0.5754700498981088, 0.7491349238893663)","(0.4111222404561129, 0.5328267872472476)"
