nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.4803644026909685, 0.38197603168743277)","(0.4912041225633431, 0.3722159131701462)","(0.498403001220633, 0.37248976344551044)","(0.505004456826858, 0.37278122557348936)","(0.47047991130179834, 0.37163358245974176)","(0.4634671804510362, 0.3715768037559277)","(0.4570946911553968, 0.37177027077663827)","(0.5146613623990335, 0.3778385262250352)","(0.44751771534239587, 0.3771869836848385)","(0.49392168199543734, 0.3934964572355194)","(0.4657895154469507, 0.39276153620306514)","(0.571320219334468, 0.4365347534209707)","(0.38493533276177866, 0.42813971673414236)","(0.5888972014258248, 0.5089672869179921)","(0.3331968409892847, 0.49729913042419827)","(0.6058988557273148, 0.5659129570969903)","(0.3017885473780427, 0.5543024755302299)"
"(0.480403093538641, 0.38179857615546553)","(0.4912231456149718, 0.372124906672743)","(0.4984089291040169, 0.3724234786344861)","(0.5049976107679613, 0.37273409441634575)","(0.4705128678769786, 0.37153165935080723)","(0.46350073001601577, 0.37149045572970096)","(0.4571357629238041, 0.37168528386207256)","(0.5145312011380863, 0.37783262112757626)","(0.447493042979208, 0.3771456602986884)","(0.4939056220866038, 0.39339211208003466)","(0.46573590370880796, 0.39258464003776417)","(0.5704978252902188, 0.4365221614882116)","(0.38462456914928495, 0.4283010480287201)","(0.5881955655582591, 0.5091269917977173)","(0.33301473219633726, 0.497407655199092)","(0.6056605366282265, 0.5660599895290573)","(0.301433927946158, 0.5546634908600576)"
"(0.4803503802467347, 0.38159784660750695)","(0.49112381009788886, 0.37202257508442477)","(0.49830416317308523, 0.37234875830737113)","(0.5048775360300835, 0.3726801276901671)","(0.47044624384744566, 0.37141912821289624)","(0.46344182402381906, 0.37139706553279184)","(0.45710986908221396, 0.37159493899012025)","(0.5142623843290878, 0.3778177589386501)","(0.4473769040930253, 0.37710168658992427)","(0.49377502372492826, 0.3932755731897207)","(0.46553943985269997, 0.39239101372398777)","(0.569630201879916, 0.4365294449257137)","(0.38420025993894114, 0.42849561384507917)","(0.5874343636708395, 0.5093440305102965)","(0.3327078242679861, 0.49753253436310974)","(0.6053116903716325, 0.5662580053289465)","(0.30093600776367874, 0.5552684616097772)"
"(0.48015996056559024, 0.3813994522694949)","(0.4908898781229577, 0.371925899754594)","(0.4980955815815436, 0.37228096649919157)","(0.5046555980657931, 0.3726336926152386)","(0.4702396335857464, 0.37131034570696275)","(0.46324485366716905, 0.3713070363987306)","(0.456976867291756, 0.3715084946099981)","(0.5138936292875074, 0.3778056076495528)","(0.44712843247504874, 0.37705710169040874)","(0.4935072452038329, 0.3931636308039827)","(0.4651563229399693, 0.39220212486796246)","(0.5688227069127821, 0.43655763132311065)","(0.383655985613248, 0.4287094650985487)","(0.5866591998469314, 0.5096017351517321)","(0.33232307204833467, 0.4976705494738414)","(0.6049191163970054, 0.5664663168933854)","(0.3003602661452934, 0.5560147344093512)"
"(0.4797243284178791, 0.3812224862875646)","(0.49043840920174975, 0.37184272314007266)","(0.4977105337006239, 0.37222388067167755)","(0.5042768450050098, 0.37259510770822263)","(0.4697742341976354, 0.3712166949307732)","(0.4627924428814229, 0.37123299971882917)","(0.45661510190208016, 0.37143810631789886)","(0.5134289536998555, 0.3777931539606667)","(0.4466606474422918, 0.37702009533390934)","(0.4930252081308619, 0.39306538157807724)","(0.4645121087144315, 0.3920381950748559)","(0.5680976034878029, 0.43657497273180684)","(0.3830657881317725, 0.42892674480007054)","(0.5859127624051567, 0.5097511695537267)","(0.33191627875352586, 0.49781333615174217)","(0.6043635731810469, 0.566589936787711)","(0.29978369992651926, 0.5567975188746609)"
"(0.47907369092350066, 0.3810894999887568)","(0.48976532382009297, 0.37178788735316426)","(0.49712655066332445, 0.37218994603846256)","(0.5037219724455091, 0.3725775715771263)","(0.4690567234179367, 0.37115040449273695)","(0.4620956932748125, 0.37118198231105837)","(0.4560294354851162, 0.37139048394345536)","(0.5128668506384463, 0.3777920603752144)","(0.4459717878789622, 0.37699415300275974)","(0.49236352696563357, 0.392996691740477)","(0.46367348949392456, 0.39191817209159385)","(0.567447891463212, 0.43657882237212176)","(0.3824679000533274, 0.42913268412743505)","(0.585293567263998, 0.509801090875151)","(0.3315701233201379, 0.49797241858669195)","(0.6036631357975508, 0.5666759731052651)","(0.2992779842484532, 0.5575184612285297)"
"(0.478274301632302, 0.3810263228861054)","(0.4889442737980611, 0.37177320918836876)","(0.49640011217766533, 0.3721884177142376)","(0.50304090414014, 0.3725883573085286)","(0.46816860830589435, 0.37112500853749775)","(0.461230055157678, 0.3711653158659154)","(0.45528454950083763, 0.37137400430121426)","(0.5122468709112058, 0.3778087724616763)","(0.4451334903012354, 0.37697687745094377)","(0.49157597954734605, 0.3929715294799057)","(0.46272675974385824, 0.391858253584598)","(0.5669220469214712, 0.43656878531118193)","(0.3818481843788315, 0.4293255757340749)","(0.5848130956118491, 0.5097343870254119)","(0.3312804958759217, 0.49815464888141536)","(0.6027763409492309, 0.5666816549979179)","(0.29891760470150297, 0.5580517155029291)"
"(0.47734244532518555, 0.38104861891353126)","(0.4879866486940639, 0.37180707393548507)","(0.4955295545932585, 0.3722236795581034)","(0.5022439852461126, 0.3726293599549993)","(0.46712925217368484, 0.3711498479048419)","(0.46022104911315237, 0.3711931128879813)","(0.4543883598350988, 0.371399399909107)","(0.5116154044380288, 0.37784557179971257)","(0.4441427019509412, 0.3769893651103092)","(0.4907215985106988, 0.3930055321235487)","(0.4617384686753476, 0.39188205876272675)","(0.5664870101255148, 0.43654980227386014)","(0.38126419460301153, 0.4294772649700556)","(0.5845267411434302, 0.5095135968326143)","(0.3310662655285751, 0.4983192441207834)","(0.6017749584638168, 0.5665098173079247)","(0.29873153032400734, 0.5583179590307483)"
"(0.4764048537035377, 0.38107841880449406)","(0.4870136290580253, 0.3718323406083886)","(0.4946317619238155, 0.3722494260553444)","(0.5014387289960912, 0.3726577081463561)","(0.46606059202225436, 0.3711746204427358)","(0.45917913407990524, 0.3712299621049627)","(0.45343297442078406, 0.3714384269186397)","(0.5110207076395041, 0.37786753145687035)","(0.44305878050955394, 0.37703272047298575)","(0.48991674018073017, 0.39304916598858064)","(0.4608262720363689, 0.3919201730153508)","(0.5660906033916084, 0.4365087363408727)","(0.38068147076593495, 0.42959386818892564)","(0.5843509887204039, 0.509140537196385)","(0.33089650615112, 0.49844328333170096)","(0.6007002821335439, 0.5662066475216894)","(0.2987340996454374, 0.5582877589272464)"
"(0.47554172544212714, 0.3811244385225798)","(0.486085563272864, 0.3718562609665885)","(0.49374913689973576, 0.372272330911566)","(0.5006545302751192, 0.3726809414533476)","(0.4650657410388236, 0.3712033443934442)","(0.4582092270150895, 0.3712769405686224)","(0.45252246671901253, 0.3714907143638414)","(0.5104693901010894, 0.3778856134081228)","(0.44198580575989765, 0.3771048091647239)","(0.48922032882005845, 0.39310895958980563)","(0.4600587647694818, 0.39198175350547193)","(0.5657251168797912, 0.4364455958485335)","(0.3801528846884116, 0.4296819590605231)","(0.5842575133541538, 0.5087266223969726)","(0.3307252592973783, 0.49855706047067105)","(0.5995968634432025, 0.5658645107473816)","(0.2987795894518327, 0.5581090198808073)"
"(0.47487276111727367, 0.3811744669656384)","(0.4852880827196839, 0.37188187213766627)","(0.49295717290231506, 0.3722983092972735)","(0.4999431626641122, 0.37270420838347207)","(0.46425865913604625, 0.3712341174101226)","(0.4574251914774631, 0.37133038287118403)","(0.4517653246164888, 0.37155292619080615)","(0.5099363268672181, 0.3779053172587245)","(0.44104557006787126, 0.3772023921107365)","(0.48869744380871005, 0.39317586246904046)","(0.4595347827686862, 0.3920623496834779)","(0.5654279400696578, 0.43639573538220106)","(0.3797017017722416, 0.42979553682265126)","(0.5841887351516255, 0.5083980597816158)","(0.33049979000102736, 0.4986709876632923)","(0.5984923419974635, 0.5655738334833615)","(0.2987910113134591, 0.5579881005353873)"
"(0.4743653738693212, 0.38120201744121907)","(0.48464537722803325, 0.37188582709341417)","(0.49229922835087825, 0.3722978480907039)","(0.4993476891295348, 0.37270036881620316)","(0.46361258257797094, 0.37125681865187593)","(0.4567971248309939, 0.37137898177533796)","(0.45114040333074384, 0.3716129914169275)","(0.5094372625951178, 0.3779030755544328)","(0.4402319293616822, 0.3773057873432461)","(0.488310838565405, 0.3932173886360275)","(0.4591385752726834, 0.3921292459631308)","(0.5650445270093738, 0.4363229507471863)","(0.37917742779204977, 0.4299568596419764)","(0.5840177331771063, 0.5081283408445089)","(0.3301193761380965, 0.4988182890109538)","(0.597339918980233, 0.5653209821049717)","(0.2987038310452225, 0.5580074748237106)"
"(0.4739750973828199, 0.38120856992292595)","(0.48410711456567923, 0.3718741593105262)","(0.4917299105570877, 0.3722780950558499)","(0.4988214454172941, 0.3726783121799263)","(0.4630957918984083, 0.37127256844983036)","(0.4562979590642713, 0.3714218852403289)","(0.4506308930320349, 0.371669021172402)","(0.5089431662103802, 0.3778789992376927)","(0.43955067932466896, 0.3774036610182079)","(0.4880286461406665, 0.39323575013167456)","(0.4588283659555983, 0.3921804710145883)","(0.5646476899827289, 0.43620164188749677)","(0.3786407346492055, 0.43013044524859806)","(0.5837702648345142, 0.5078470598567627)","(0.32964173799906094, 0.49897338008825143)","(0.5962219787088598, 0.5650918735212948)","(0.2985502671806413, 0.5581217028877964)"
"(0.4736907221637416, 0.38121174321030205)","(0.48369766969780925, 0.37185769911968425)","(0.4912988716488962, 0.3722514945727136)","(0.49841384037391395, 0.3726491381377337)","(0.46271128316859367, 0.37128697061316474)","(0.4559212586123914, 0.37146184042895114)","(0.45024868984878297, 0.3717210699211475)","(0.5085156414058669, 0.37784911917917735)","(0.4390351433298258, 0.3774952182680863)","(0.487838263278242, 0.39324497815334525)","(0.4585918853610833, 0.3922239552427847)","(0.5642564474563789, 0.4360619099823755)","(0.37811301381160134, 0.43031556115839675)","(0.5834738997034827, 0.507604834083078)","(0.32913120962801024, 0.49911360057083987)","(0.5952491979776853, 0.5648895069991526)","(0.2983555834054397, 0.5582981751515327)"
"(0.473273176413317, 0.38121924186364275)","(0.48327488005856084, 0.37184913716949863)","(0.49086097139856577, 0.37223304151655157)","(0.4980027050405126, 0.3726261147669153)","(0.462268821217798, 0.3713050866738352)","(0.45549604532879917, 0.3715029303288412)","(0.44981277794826935, 0.37176903102781467)","(0.5080970606325956, 0.3778270726159466)","(0.4385822866207524, 0.3775738429773112)","(0.487477622804665, 0.3932569700104382)","(0.45818602073164905, 0.392263679168164)","(0.5638519849254825, 0.43588563897115185)","(0.37764084478080495, 0.43048154904848024)","(0.5831699140699884, 0.5073115322695478)","(0.3286365241437532, 0.499207482540803)","(0.5943292436344096, 0.5646720499425513)","(0.2981569160531457, 0.5585043296947357)"
"(0.4727685584888602, 0.38121025622030047)","(0.482839273545015, 0.3718397718765249)","(0.4904071834537543, 0.37221512538847745)","(0.4975765375268497, 0.3726044570927306)","(0.4617798798012021, 0.37131507323060636)","(0.4550370314182389, 0.37152754468517785)","(0.44933963058156107, 0.3717942522678072)","(0.5076750997618928, 0.3778054541224375)","(0.4381967609301045, 0.37761403915487607)","(0.4870027491262753, 0.39324996479741425)","(0.4576781849900057, 0.3922689194445852)","(0.5634596771571476, 0.43570984285194647)","(0.3772182770264463, 0.43065139831918753)","(0.582829903750432, 0.5070834478020401)","(0.3282164928518538, 0.49930349652306016)","(0.5935735709461589, 0.5645424202605573)","(0.29795160007365723, 0.558716384958833)"
